epoch,train_loss,validation_loss
1,0.4398274390083371,0.20002491772174835
2,0.13394719610611597,0.07877492159605026
3,0.0780223287416227,0.06018320098519325
4,0.06516405296596614,0.05448503419756889
5,0.058813929444912705,0.0514468252658844
6,0.0552593164823272,0.048801109194755554
7,0.052776333621957085,0.04698827862739563
8,0.05053780623006098,0.0454995259642601
9,0.047851109369234604,0.04382038861513138
10,0.04579254499439037,0.041544508188962936
11,0.044435658463926025,0.03998710960149765
12,0.04350306855683977,0.04391451179981232
13,0.040327139988993156,0.03678634762763977
14,0.039011093816070846,0.035340216010808945
15,0.037027705630118195,0.03388535976409912
