epoch,train_loss,validation_loss
1,0.42969468597209814,0.2095421552658081
2,0.13603158498352225,0.0822310671210289
3,0.07708530387643611,0.061651039868593216
4,0.06314873898571188,0.05406247824430466
5,0.05683426999232986,0.05287273973226547
6,0.05263295543916298,0.04896952956914902
7,0.05008599918448564,0.04416576772928238
8,0.04719472247542757,0.04211392626166344
9,0.04406702112067829,0.03979019820690155
10,0.04258610793586933,0.03753412514925003
11,0.03976578231562267,0.035758838057518005
12,0.03839336933963226,0.036836378276348114
13,0.03711458273006208,0.03315844386816025
14,0.035542264354951454,0.032408207654953
15,0.034734160780455124,0.03154334798455238
