epoch,train_loss,validation_loss
1,0.11159831488080192,0.05826184153556824
2,0.05581670176041754,0.05275951698422432
3,0.0526934324692913,0.05107048526406288
4,0.051085171273403,0.049803148955106735
5,0.05031906954987704,0.04929817095398903
6,0.049432702122898825,0.048685766756534576
7,0.049051526759625874,0.048503849655389786
8,0.04864712610666515,0.048444099724292755
9,0.04839546632087022,0.04793631285429001
10,0.04794495439494562,0.04790832847356796
11,0.047914797516419874,0.047921326011419296
12,0.04766202853088491,0.047486476600170135
13,0.04740385404020025,0.04745824635028839
14,0.04745118404951012,0.04731549695134163
15,0.047277208766219214,0.04732759669423103
