epoch,train_loss,validation_loss
1,0.1159210509636946,0.05956478416919708
2,0.057268492332850286,0.054201021790504456
3,0.05358427627916224,0.051859110593795776
4,0.05190482999236263,0.05065787956118584
5,0.050803173442333066,0.05008171871304512
6,0.050120547152402106,0.04956989735364914
7,0.0494337016988916,0.0491219125688076
8,0.0492387459945609,0.04863566532731056
9,0.04864496086337413,0.048261597752571106
10,0.04863795982292521,0.048223692923784256
11,0.04818024218343852,0.04807429015636444
12,0.04789218138794453,0.04777711257338524
13,0.04768733124722514,0.04787612706422806
14,0.0474547151018653,0.04761383309960365
15,0.047275351371332916,0.047290317714214325
