dataset,seed,accuracy,precision,attack_recall,specificity,f1,roc_auc,pr_auc,mcc,tp,tn,fp,fn,false_positive_rate,false_negative_rate,attack,budget,subset_N,attack_success_rate,robust_attack_recall,clean_to_adv_attack_recall_drop,clean_to_adv_F1_drop,clean_to_adv_MCC_drop,clean_to_adv_accuracy_drop,mean_Linf,mean_L2,mean_changed_features,projection_collapse_rate,semantic_constraint_violations,attack_generation_seconds,runtime_seconds,adversarial_samples_per_second,raw_attackable_features,transformed_mutable_indexes,epsilon_vector_hash,checkpoint_hash,adversarial_sample_seed,validation_sanity,robustness_gap
cic_iot_2023,42,0.9766,0.989052253014597,0.986235629153043,0.8005780346820809,0.9876419329284394,0.9920952847790704,0.9995716816193012,0.7682074686946269,18701,831,207,261,0.1994219653179191,0.013764370846957,FGSM,0.05,20000,0.0019745970754616,0.986235629153043,0.0019512709629785,0.000988135396672,0.0145276303590398,0.00185,0.5791581869125366,0.5791581869125366,0.9481,0.0519,0,0.026813268661499,0.026813268661499,707187.1855454682,['Time_To_Live'],[1],0d6b82fdfebe4ad798e300de3da52faace6409eb8e71e9b684533f8650947431,77be91bd336ed505fb3caf4855467baf767224c73981bc3a7dd94a415d6d94d4,314159,False,0.0019512709629785352
cic_iot_2023,123,0.9778,0.9905170586988769,0.9860246809408292,0.8275529865125241,0.9882657645752948,0.9920753686665492,0.9995709156966878,0.7836129899934992,18697,859,179,265,0.1724470134874759,0.0139753190591709,PGD,0.05,20000,0.0019750186826091,0.9860246809408292,0.0019512709629785,0.0009883608372465,0.014354394711511,0.00185,0.5753958225250244,0.5753958225250244,0.9481,0.0519,0,0.3683953285217285,0.3683953285217285,51471.8796139175,['Time_To_Live'],[1],0d6b82fdfebe4ad798e300de3da52faace6409eb8e71e9b684533f8650947431,0c91445afd5b6ccf989e21727df1a490a63dffeda14c3eb5e14bf906631fddea,314159,False,0.0019512709629785352
cic_iot_2023,2026,0.97725,0.9889564068692206,0.987026684948845,0.7986512524084779,0.9879906036371314,0.9920606348077964,0.9995702334611156,0.7727929109988403,18716,829,209,246,0.2013487475915221,0.0129733150511549,PGD,0.05,20000,0.002079445481205,0.987026684948845,0.0020567450690855,0.0010406677861666,0.0156601868775296,0.00195,0.5749818086624146,0.5749818086624146,0.94805,0.05195,0,0.5158162117004395,0.5158162117004395,36761.15556254015,['Time_To_Live'],[1],0d6b82fdfebe4ad798e300de3da52faace6409eb8e71e9b684533f8650947431,fabfb95294b34fbaf6e7e6603bfc3a99e46dad94ab783f808679a092b6c14f3a,314159,False,0.002056745069085486
edge_iiotset,42,0.3441708611073323,1.0,0.0004900390146446,1.0,0.0009795979880564,0.005232004877928,0.4420476876330999,0.0129828263281366,26,27804,0,53031,0.0,0.9995099609853554,FGSM,0.05,80861,0.9995099609853554,0.0004900390146446,0.9995099609853554,0.9990204020119436,0.9870171736718634,0.6558291388926676,19.706987380981445,19.706987380981445,0.6561506783245322,0.3438493216754678,0,0.0909357070922851,0.0909357070922851,583456.17685862,['udp.time_delta'],[9],e4b2e70c6e6bb07cbe001032fae6532a9e0c39b723ebcb13437e45dd21e5bb15,5965d87ce0f0151c1335322e7af0f73d73013a9c5d9b92121eaa515ca9076e12,314159,False,0.9995099609853554
edge_iiotset,123,0.3448015730698359,1.0,0.0014512693895244,1.0,0.0028983325177852,0.0494812248877747,0.4524554448250556,0.0223493543233414,77,27804,0,52980,0.0,0.9985487306104756,PGD,0.05,80861,0.9985487306104756,0.0014512693895244,0.9985487306104756,0.9971016674822148,0.9776506456766584,0.6551984269301641,19.692352294921875,19.692352294921875,0.6557673043865399,0.3442326956134601,0,2.30053448677063,2.30053448677063,23062.901384485936,['udp.time_delta'],[9],e4b2e70c6e6bb07cbe001032fae6532a9e0c39b723ebcb13437e45dd21e5bb15,85795c062a391c53a35e51adb3eb974bc93e7f1706e745a41a1ade37cdf6053f,314159,False,0.9985487306104756
edge_iiotset,2026,0.3441708611073323,1.0,0.0004900390146446,1.0,0.0009795979880564,0.1589149939522511,0.4767911161771023,0.0129828263281366,26,27804,0,53031,0.0,0.9995099609853554,FGSM,0.03,80861,0.9995099609853554,0.0004900390146446,0.9995099609853554,0.9990204020119436,0.9870171736718634,0.6558291388926676,11.824198722839355,11.824198722839355,0.6561506783245322,0.3438493216754678,0,0.0681910514831543,0.0681910514831543,778063.9665470921,['udp.time_delta'],[9],37e61df9da7dfd0ba6b520f8316a81b65db5e62a6768d18a5e67fab1c7119857,2f952a4bf62b70aaa6cac3f6696851132500daa03282e1607ad51b4c1a94b66a,314159,False,0.9995099609853554
ton_iot,42,0.62245,0.9863212686115482,0.5227768510201463,0.9743996375169914,0.6833563970310731,0.9663973675212224,0.985877634943644,0.4187571357834512,8148,4301,113,7438,0.0256003624830086,0.4772231489798537,PGD,0.05,20000,0.4752704791344668,0.5227768510201463,0.4735018606441679,0.3111675726105831,0.5563069280035513,0.3690000000000001,2.728125095367432,2.728125095367432,0.7774,0.2226,0,0.3381326198577881,0.3381326198577881,46094.34016320331,['duration'],[2],c49733753857981051aef4276aa3f4274770636dead04c3339a3751a4b9a519f,55e2c53382001820703a317dd7984211371b101961dfa439f7f68c41e6ed98de,314159,False,0.4735018606441679
ton_iot,123,0.90895,0.9914316315601572,0.890863595534454,0.9728137743543273,0.9384610185529384,0.985538254184756,0.9945963513856492,0.781805804308216,13885,4294,120,1701,0.0271862256456728,0.109136404465546,PGD,0.05,20000,0.1047674343590736,0.890863595534454,0.1036827922494545,0.0549699424494007,0.1883239166416309,0.0807999999999999,1.5561628341674805,1.5561628341674805,0.75975,0.24025,0,0.4589745998382568,0.4589745998382568,33958.30620145978,['duration'],[2],c49733753857981051aef4276aa3f4274770636dead04c3339a3751a4b9a519f,942eb46bb5c1e7373b09b92d1e5fbdf87e414f0351d7ef4211550ca03d7bed98,314159,False,0.10368279224945454
ton_iot,2026,0.9353,0.9922165587546494,0.9242268702681894,0.9743996375169914,0.9570156789795377,0.9884817861067676,0.9951655489790704,0.8354872256400416,14405,4301,113,1181,0.0256003624830086,0.0757731297318105,FGSM,0.01,20000,0.07226122238681,0.9242268702681894,0.071987681252406,0.0374760906995759,0.1394317358123423,0.0560999999999999,1.105723261833191,1.105723261833191,0.7793,0.2207,0,0.020961046218872,0.020961046218872,743569.7549279433,['duration'],[2],71e87bbd139000ff0212980d3f21f67562579b2f31a51cb89f0072d19927889b,e8748f04ee9b0425693cf6dff50e486db45800a0951551d5a5dc481d4c1e5695,314159,False,0.07198768125240596
