,accuracy,accuracy,precision,precision,attack_recall,attack_recall,f1,f1,roc_auc,roc_auc,pr_auc,pr_auc,mcc,mcc,specificity,specificity,tp,tp,tn,tn,fp,fp,fn,fn,false_positive_rate,false_positive_rate,false_negative_rate,false_negative_rate,seed,seed,threshold,threshold,best_epoch,best_epoch,epochs,epochs,preprocessing_seconds,preprocessing_seconds,training_seconds,training_seconds,inference_seconds,inference_seconds,test_seconds,test_seconds,total_seconds,total_seconds,feature_count,feature_count,ram_mb,ram_mb
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cic_iot_2023,0.9782044444444445,1.0183501544400912e-05,0.9877427018312974,0.0007978695679755782,0.9892883679176072,0.0008145961505566389,0.9885144923157007,8.710465709448986e-06,0.9930333686974174,2.4263918123515102e-05,0.9996223374013722,1.3128512819599985e-06,0.7756781157384606,0.0030672372828011523,0.7757801463978425,0.014956284434612235,140689.66666666666,115.84616235911372,6041.0,116.46458689232534,1746.0,116.46458689232534,1523.3333333333333,115.84616235911022,0.22421985360215743,0.01495628443461222,0.0107116320823928,0.0008145961505566367,730.3333333333334,1122.8109072026925,0.5,0.0,14.333333333333334,0.5773502691896258,15.0,0.0,5.307328303654988,0.09042578880203163,256.6555468241374,37.74204157698404,0.10783894856770826,0.004355360950608092,0.10783894856770826,0.004355360950608092,262.07071407636005,37.83593892878203,36.0,0.0,1263.1263020833333,2.849930861677366
edge_iiotset,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,66316.0,0.0,83684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.3333333333334,1122.8109072026925,0.5,0.0,12.666666666666666,3.214550253664318,14.0,1.7320508075688772,14.025640408198038,4.1231710617433786,225.8503495057424,66.13656650087297,0.10498197873433424,0.04482093563105866,0.10498197873433424,0.04482093563105866,239.98097189267477,70.07545538864697,38.0,0.0,1215.3619791666667,5.166783649391824
ton_iot,0.9908531961312753,0.000929547876613589,0.9926560674976663,0.00021055127629978946,0.9956284153005465,0.0010006081180631064,0.9941399102447196,0.0005980083566305878,0.998386564474234,9.167488217991216e-05,0.9995171286988621,2.560663337961025e-05,0.9733347032477851,0.0026949206215460026,0.9739930225182366,0.0007267008713852965,22167.666666666668,22.278539748675637,6142.0,4.58257569495584,164.0,4.58257569495584,97.33333333333333,22.27853974867593,0.026006977481763366,0.000726700871385342,0.0043715846994535,0.0010006081180631385,730.3333333333334,1122.8109072026925,0.5,0.0,15.0,0.0,15.0,0.0,1.1067290306091309,0.4252711623661155,46.47384651501974,7.87445559095846,0.015652418136596635,0.007383061031835864,0.015652418136596635,0.007383061031835864,47.596227963765465,8.2928968423491,50.0,0.0,675.7265625,8.678165827742005
