dataset,seed,decision,clean_attack_recall,worst_adv_attack_recall,max_ASR,max_recall_drop,semantic_violations,leakage_status,failed_criteria,warnings,policy_id,reason_codes,robustness_gap
cic_iot_2023,42,PASS,0.9881869001160216,0.986235629153043,0.0019745970754616,0.0019512709629785,0,NO_EVIDENCE_OF_LEAKAGE,,,projected-evasion-ids-v1,['PASS_ALL_CRITERIA'],0.0019512709629785352
cic_iot_2023,123,PASS,0.9879759519038076,0.9860246809408292,0.0019750186826091,0.0019512709629785,0,NO_EVIDENCE_OF_LEAKAGE,,,projected-evasion-ids-v1,['PASS_ALL_CRITERIA'],0.0019512709629785352
cic_iot_2023,2026,PASS,0.9890834300179306,0.987026684948845,0.002079445481205,0.0020567450690855,0,NO_EVIDENCE_OF_LEAKAGE,,,projected-evasion-ids-v1,['PASS_ALL_CRITERIA'],0.002056745069085486
edge_iiotset,42,BLOCK,1.0,0.0004900390146446,0.9995099609853554,0.9995099609853554,0,NO_DIRECT_LEAKAGE_WITH_DATASET_CONFOUNDING,BLOCK_LOW_ROBUST_RECALL;BLOCK_HIGH_ATTACK_SUCCESS_RATE;BLOCK_EXCESSIVE_RECALL_DROP,WARNING_DATASET_CONFOUNDING,projected-evasion-ids-v1,"['BLOCK_LOW_ROBUST_RECALL', 'BLOCK_HIGH_ATTACK_SUCCESS_RATE', 'BLOCK_EXCESSIVE_RECALL_DROP']",0.9995099609853554
edge_iiotset,123,BLOCK,1.0,0.0014512693895244,0.9985487306104756,0.9985487306104756,0,NO_DIRECT_LEAKAGE_WITH_DATASET_CONFOUNDING,BLOCK_LOW_ROBUST_RECALL;BLOCK_HIGH_ATTACK_SUCCESS_RATE;BLOCK_EXCESSIVE_RECALL_DROP,WARNING_DATASET_CONFOUNDING,projected-evasion-ids-v1,"['BLOCK_LOW_ROBUST_RECALL', 'BLOCK_HIGH_ATTACK_SUCCESS_RATE', 'BLOCK_EXCESSIVE_RECALL_DROP']",0.9985487306104756
edge_iiotset,2026,BLOCK,1.0,0.0004900390146446,0.9995099609853554,0.9995099609853554,0,NO_DIRECT_LEAKAGE_WITH_DATASET_CONFOUNDING,BLOCK_LOW_ROBUST_RECALL;BLOCK_HIGH_ATTACK_SUCCESS_RATE;BLOCK_EXCESSIVE_RECALL_DROP,WARNING_DATASET_CONFOUNDING,projected-evasion-ids-v1,"['BLOCK_LOW_ROBUST_RECALL', 'BLOCK_HIGH_ATTACK_SUCCESS_RATE', 'BLOCK_EXCESSIVE_RECALL_DROP']",0.9995099609853554
ton_iot,42,BLOCK,0.996278711664314,0.5227768510201463,0.4752704791344668,0.4735018606441679,0,NO_EVIDENCE_OF_LEAKAGE,BLOCK_LOW_ROBUST_RECALL;BLOCK_HIGH_ATTACK_SUCCESS_RATE;BLOCK_EXCESSIVE_RECALL_DROP,,projected-evasion-ids-v1,"['BLOCK_LOW_ROBUST_RECALL', 'BLOCK_HIGH_ATTACK_SUCCESS_RATE', 'BLOCK_EXCESSIVE_RECALL_DROP']",0.4735018606441679
ton_iot,123,PASS,0.9945463877839086,0.890863595534454,0.1047674343590736,0.1036827922494545,0,NO_EVIDENCE_OF_LEAKAGE,,,projected-evasion-ids-v1,['PASS_ALL_CRITERIA'],0.10368279224945454
ton_iot,2026,PASS,0.9962145515205956,0.9242268702681894,0.07226122238681,0.071987681252406,0,NO_EVIDENCE_OF_LEAKAGE,,,projected-evasion-ids-v1,['PASS_ALL_CRITERIA'],0.07198768125240596
