epoch,train_loss,validation_loss
1,0.07854107412753343,0.0014056178042665124
2,0.0011232389872914115,0.0010323242750018835
3,0.0005116667062362754,0.0007200117688626051
4,0.00023105082183644688,0.00027634375146590173
5,9.110864881243644e-05,5.7333058066433296e-05
6,4.356557717834455e-05,2.4829361791489646e-05
7,3.013312733222932e-05,3.084136551478878e-05
8,2.8977712735845858e-05,1.1950878615607508e-05
9,2.0008300038043353e-05,6.454779850173509e-06
10,1.3991246598050045e-05,9.198543011734728e-06
11,1.1595391178911596e-05,1.912323023134377e-05
12,1.320745878085652e-05,1.673166661930736e-05
