epoch,train_loss,validation_loss
1,0.08176110910962482,0.001375707215629518
2,0.0007641323174422128,0.0008812128216959536
3,0.0003227330676612869,0.00030397140653803945
4,0.00011113535575207857,7.803525659255683e-05
5,6.390297484789411e-05,5.177811544854194e-05
6,3.14124168515221e-05,4.936825280310586e-05
7,2.7202287835987387e-05,8.789570711087435e-05
8,1.7080398555402507e-05,1.0423465027997736e-05
9,1.1669518890381656e-05,2.5152956368401647e-05
10,1.1083971923377163e-05,1.3896706150262617e-05
11,1.7262711505989297e-05,8.938533937907778e-06
12,6.991904081332266e-06,1.21802841022145e-05
13,6.579611364717844e-06,1.0836683941306546e-06
14,4.157037030956034e-06,1.0292516208210145e-06
15,3.376744558802555e-06,1.3388184925133828e-06
