dataset,attack,budget,attack_recall_mean,attack_recall_std,attack_recall_min,attack_recall_max,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_min,attack_success_rate_max,f1_mean,f1_std,f1_min,f1_max,mcc_mean,mcc_std,mcc_min,mcc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,clean_to_adv_attack_recall_drop_mean,clean_to_adv_attack_recall_drop_std,clean_to_adv_attack_recall_drop_min,clean_to_adv_attack_recall_drop_max,clean_to_adv_F1_drop_mean,clean_to_adv_F1_drop_std,clean_to_adv_F1_drop_min,clean_to_adv_F1_drop_max
cic_iot_2023,FGSM,0.01,0.9879407938684386,0.000528248750178123,0.9873958443202194,0.9884505853812889,0.0004801556831292144,0.00023245272900200513,0.00021346995410395986,0.0006398293788323114,0.9887317066800608,0.00021929085112736213,0.9885233358837031,0.9889604901753645,0.7860998228797724,0.006629026533424646,0.7811289745575484,0.7936262779869241,0.97865,0.0004272001872658831,0.97825,0.9791,0.04317069053649902,0.026619640934429162,0.02512192726135254,0.07374238967895508,0.00047463347748126033,0.00022987548484022972,0.0002109482122139017,0.0006328446366417051,0.00024011504025600594,0.00011626119816027429,0.00010673244140835259,0.00031997744218292823
cic_iot_2023,FGSM,0.03,0.987307949231797,0.0005997511552660644,0.9868157367366311,0.9879759519038076,0.0011382352437605936,6.139214103813999e-05,0.0010673497705197994,0.0011743354329027437,0.9884113476571775,0.000289919501090161,0.9880961807480139,0.9886666842786569,0.7813519946021126,0.007383628392646197,0.7747918386114122,0.7893481338008347,0.97805,0.0005567764362830231,0.97745,0.97855,0.027089516321818035,0.008173136007801734,0.02162909507751465,0.036485910415649414,0.0011074781141230023,5.2737053053475424e-05,0.0010547410610695085,0.0011602151671764593,0.0005604740631392676,2.6778806819278332e-05,0.0005338875770976026,0.0005874411338843144
cic_iot_2023,FGSM,0.05,0.9864817354006258,0.0005202914104330742,0.986130155046936,0.9870794220018986,0.0020096870797586004,6.041291556791294e-05,0.001974597075461629,0.002079445481205012,0.9879928286727543,0.00033931622475064956,0.9876419329284394,0.9883192389006342,0.7752542505631049,0.008278339108831134,0.7682074686946269,0.7843712134665216,0.9772666666666666,0.0006506407098647827,0.9766,0.9779,0.03193346659342448,0.015594807051543912,0.019542455673217773,0.04944467544555664,0.001933691945294062,8.055717918217525e-05,0.0018457968568715843,0.002004008016032066,0.0009789930475626596,4.032036319048245e-05,0.0009348865119069849,0.0010139572341089087
cic_iot_2023,PGD,0.01,0.9879407938684386,0.000528248750178123,0.9873958443202194,0.9884505853812889,0.0004801556831292144,0.00023245272900200513,0.00021346995410395986,0.0006398293788323114,0.9887317066800608,0.00021929085112736213,0.9885233358837031,0.9889604901753645,0.7860998228797724,0.006629026533424646,0.7811289745575484,0.7936262779869241,0.97865,0.0004272001872658831,0.97825,0.9791,0.47211384773254395,0.05906560278952186,0.4039745330810547,0.5087370872497559,0.00047463347748126033,0.00022987548484022972,0.0002109482122139017,0.0006328446366417051,0.00024011504025600594,0.00011626119816027429,0.00010673244140835259,0.00031997744218292823
cic_iot_2023,PGD,0.03,0.9872903702141125,0.0005704384467035804,0.9868157367366311,0.9879232148507542,0.0011382352437605936,6.139214103813999e-05,0.0010673497705197994,0.0011743354329027437,0.9884024521244101,0.00028756571730348103,0.9880961807480139,0.9886666842786569,0.7812185431626952,0.007426055357927794,0.7747918386114122,0.7893481338008347,0.9780333333333333,0.0005530220007679238,0.97745,0.97855,0.4975101947784424,0.1184166177620875,0.4159095287322998,0.633328914642334,0.0011250571318074758,6.089550355338321e-05,0.0010547410610695085,0.0011602151671764593,0.0005693695959067361,3.073010727635613e-05,0.0005338875770976026,0.0005874411338843144
cic_iot_2023,PGD,0.05,0.9864289983475724,0.000528248750178105,0.9860246809408291,0.987026684948845,0.0020096870797586004,6.041291556791294e-05,0.001974597075461629,0.002079445481205012,0.9879661003802885,0.0003126368310059875,0.9876419329284394,0.9882657645752947,0.7748711232289888,0.007910230475634472,0.7682074686946269,0.7836129899934992,0.9772166666666666,0.0006006940430312944,0.9766,0.9778,0.47908369700113934,0.09764901653655615,0.3683953285217285,0.55303955078125,0.001986428998347556,6.0895503553447325e-05,0.0019512709629785352,0.002056745069085597,0.0010057213400284093,3.026472004053001e-05,0.0009881353966720852,0.001040667786166627
edge_iiotset,FGSM,0.01,0.9180622105636105,0.12174784230746671,0.7781631076012591,1.0,0.08193778943638949,0.12174784230746676,0.0,0.22183689239874096,0.9543700296848351,0.06879337306305612,0.8752437886882048,1.0,0.9060310261726764,0.14469302612973492,0.7394077254109996,1.0,0.9479471908583866,0.08115149713897073,0.8544415725751598,1.0,0.05533369382222494,0.03764735910571051,0.011880874633789062,0.07816147804260254,0.08193778943638948,0.12174784230746674,0.0,0.22183689239874094,0.045629970315164914,0.06879337306305612,0.0,0.12475621131179515
edge_iiotset,FGSM,0.03,0.0014324217351150649,0.0016322547520297769,0.0004900390146446275,0.00331718717605594,0.998567578264885,0.001632254752029755,0.9966828128239441,0.9995099609853554,0.0028572118760694615,0.003252122651035494,0.0009795979880564399,0.006612439652095505,0.019925141164745083,0.012024442019145043,0.012982826328136647,0.03380977083796196,0.34478920616861036,0.0010710050627427596,0.34417086110733236,0.3460258962911663,0.0908819039662679,0.02989070775475407,0.0681910514831543,0.12475061416625977,0.998567578264885,0.001632254752029755,0.9966828128239441,0.9995099609853554,0.9971427881239304,0.0032521226510354505,0.9933875603479045,0.9990204020119435
edge_iiotset,FGSM,0.05,0.0009172525145912258,0.0007399554875868322,0.0004900390146446275,0.0017716795144844225,0.9990827474854088,0.0007399554875868482,0.9982283204855156,0.9995099609853554,0.0018320961369580734,0.0014765701072560471,0.0009795979880564399,0.00353709243476134,0.016887267390765424,0.006762690295631258,0.012982826328136647,0.02469614951602298,0.34445117753511173,0.00048552229511004887,0.34417086110733236,0.3450118103906704,0.08881767590840657,0.012510435531064203,0.07538342475891113,0.10013389587402344,0.9990827474854088,0.0007399554875868482,0.9982283204855156,0.9995099609853554,0.9981679038630419,0.0014765701072560165,0.9964629075652387,0.9990204020119435
edge_iiotset,PGD,0.01,0.9247224682888215,0.12693985215032544,0.7781631076012591,1.0,0.07527753171117854,0.1269398521503254,0.0,0.22183689239874096,0.9577473126401713,0.07145715814383857,0.8752437886882048,1.0,0.9112082393837874,0.14881170398939317,0.7394077254109996,1.0,0.9506065965051137,0.08329167009485183,0.8544415725751598,1.0,2.10312549273173,0.38192466660163255,1.7077367305755615,2.4699862003326416,0.07527753171117853,0.1269398521503254,0.0,0.22183689239874094,0.04225268735982868,0.07145715814383857,0.0,0.12475621131179515
edge_iiotset,PGD,0.03,0.001419856632175459,0.0016104913553360463,0.0004900390146446275,0.0032794918672371222,0.9985801433678246,0.001610491355336038,0.9967205081327629,0.9995099609853554,0.002832246629498254,0.0032088815755506777,0.0009795979880564399,0.0065375439123818825,0.019860785673478935,0.01191297503852602,0.012982826328136647,0.033616704364163516,0.3447809615677933,0.0010567249952395314,0.34417086110733236,0.3460011624887152,1.9234707355499268,0.5556792573715903,1.3198115825653076,2.413651466369629,0.9985801433678246,0.001610491355336038,0.9967205081327629,0.9995099609853554,0.9971677533705017,0.003208881575550679,0.9934624560876181,0.9990204020119435
edge_iiotset,PGD,0.05,0.0008104491396045761,0.000554966615690124,0.0004900390146446275,0.0014512693895244737,0.9991895508603954,0.0005549666156901222,0.9985487306104756,0.9995099609853554,0.0016191761646327006,0.0011077818972423427,0.0009795979880564399,0.0028983325177852222,0.016105002326538255,0.005407767459403672,0.012982826328136647,0.022349354323341473,0.34438109842816683,0.00036414172133253267,0.34417086110733236,0.3448015730698359,1.7709547678629558,0.4674356457001209,1.4158594608306885,2.30053448677063,0.9991895508603954,0.0005549666156901222,0.9985487306104756,0.9995099609853554,0.9983808238353672,0.0011077818972423492,0.9971016674822147,0.9990204020119435
ton_iot,FGSM,0.01,0.8120963257624364,0.18874165535443846,0.5941870909790838,0.9242268702681894,0.18431551047219366,0.18991567585605754,0.07226122238681007,0.4035935085007728,0.8841449930693881,0.12305652018958617,0.7420673076923077,0.9570156789795377,0.7106267557763318,0.20627653665107373,0.47253375623051,0.8354872256400416,0.8478,0.1469884009029284,0.6781,0.9353,0.021705230077107746,0.0026888251016145143,0.019466876983642578,0.024687767028808594,0.18358355789383632,0.18924802341845157,0.07198768125240607,0.4020916206852303,0.11000390703831493,0.12337456901433952,0.037476090699575915,0.25245666194934857
ton_iot,FGSM,0.03,0.8317079430257923,0.19526381599192566,0.6104196073399204,0.9797895547286026,0.16545411141486585,0.19584237632855808,0.016551812970953823,0.38730036063884593,0.8957099532096179,0.1237472179034767,0.7546900408519415,0.9861801743622861,0.7425946054246862,0.23287747471000653,0.48540861643558464,0.9391835080908544,0.8630833333333333,0.15210360230229042,0.69075,0.9786,0.02017370859781901,0.0017471296775107476,0.01891613006591797,0.022168636322021484,0.16397194063048035,0.19561503308329906,0.01642499679199283,0.38585910432439374,0.09843894689808515,0.12398356811454264,0.008311595316827458,0.23983392878971477
ton_iot,FGSM,0.05,0.8760639890500022,0.1756717427964416,0.6740664699088926,0.9931348646220968,0.12154399253219467,0.17589449299625884,0.0037998325497520446,0.32373776403915505,0.9236832445476028,0.10585515965042509,0.8018317115054379,0.9929437423824492,0.8024046014874898,0.23070217520431516,0.5388953103874603,0.9680064592118095,0.89765,0.1368165103340968,0.74035,0.989,0.025699138641357422,0.0037497548433769413,0.02289557456970215,0.029958486557006836,0.11961589460627058,0.1761140471196972,0.0030796868984986903,0.3222122417554215,0.07046565556010027,0.10613865602368364,0.0015480272966643671,0.19269225813621838
ton_iot,PGD,0.01,0.8199452500106933,0.190615395858685,0.6004106249197998,0.9434107532400873,0.17643793997785273,0.19175238386107635,0.053004443871964964,0.3973467284904688,0.8888498697669887,0.12312676941185315,0.746936983677216,0.9672729664835708,0.7223208827982738,0.21342096815501743,0.47743750560454123,0.8686918072556747,0.8539166666666667,0.1484584902702885,0.68295,0.95025,0.4475351969401042,0.07958237583466933,0.36048007011413574,0.5165462493896484,0.17573463364557937,0.19107469266118277,0.052803798280508185,0.39586808674451435,0.10529903034071426,0.12342004817491521,0.027218803195542818,0.2475869859644403
ton_iot,PGD,0.03,0.7958210359724539,0.2266723154051882,0.5359296804824842,0.9526498139355832,0.20066204680857372,0.22789897908187004,0.043730276292909126,0.46206852138073157,0.8698820245134987,0.15251850688389026,0.694578413437552,0.9721412904704226,0.7026120977039662,0.24189815786951907,0.4283560583979734,0.8855924614498123,0.8351166666666666,0.17656626470912648,0.6327,0.95745,0.598605235417684,0.20967622696651986,0.36435937881469727,0.768744945526123,0.1998588476838188,0.22709007713043933,0.043564737585012225,0.4603490311818299,0.12426687559420439,0.15279205680768138,0.022350479208690932,0.29994555620410424
ton_iot,PGD,0.05,0.7918217203473202,0.2356856516299183,0.5227768510201463,0.9618247144873604,0.20487427669681205,0.23678466202308898,0.03458491659689573,0.4752704791344668,0.8662493372898155,0.15955358911693301,0.6833563970310731,0.976930596285435,0.7011938777545016,0.2519940991731402,0.4187571357834512,0.9030186931718376,0.832,0.18359638476832815,0.62245,0.9646,0.5079031785329183,0.19880312006132664,0.3381326198577881,0.72660231590271,0.20385816330895248,0.23607450316606235,0.03438983703323506,0.4735018606441679,0.1278995628178875,0.15981309883923087,0.017561173393678575,0.31116757261058314
