dataset,seed,best_epoch,epochs_executed,final_train_loss,final_validation_loss,best_validation_loss,possible_epoch_cap_truncation
cic_iot_2023,42,14,15,0.0470641325527464,0.0470126159489154,0.0470078364014625,False
cic_iot_2023,123,15,15,0.0472753513713329,0.0472903177142143,0.0472903177142143,True
cic_iot_2023,2026,14,15,0.0472772087662192,0.047327596694231,0.0473154969513416,False
edge_iiotset,42,14,15,3.376744558802555e-06,1.3388184925133828e-06,1.0292516208210143e-06,False
edge_iiotset,123,15,15,6.477006001915199e-06,6.2596136558568105e-06,6.2596136558568105e-06,True
edge_iiotset,2026,9,12,1.320745878085652e-05,1.673166661930736e-05,6.454779850173509e-06,False
ton_iot,42,15,15,0.0350227078253572,0.0323674231767654,0.0323674231767654,True
ton_iot,123,15,15,0.0370277056301181,0.0338853597640991,0.0338853597640991,True
ton_iot,2026,15,15,0.0347341607804551,0.0315433479845523,0.0315433479845523,True
